State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,sex_ratio,literact_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,1323667,748939,574728,484912,5512,566108,597466,220248,100.0,54.112282803506005
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,2036166,1208544,827622,879537,8606,897970,902997,341431,98.0,56.62524368143473
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1933357,1202223,731134,748093,13763,944555,907970,395900,100.0,63.915598802509976
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,2093681,1545831,547850,1122046,22411,1297273,1199479,406362,101.0,63.80264152466215
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,2381624,1442370,939254,1227956,19383,1186028,1069877,513113,100.0,60.56780404651324
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1413297,1045585,367712,23029,149034,869721,0,1066289,95.0,73.34309160066269
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1876768,1049463,827305,756859,8831,926768,877236,288044,101.0,58.43940143035361
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,1410062,802906,607156,804537,8628,668519,669262,201363,101.0,58.27738196949277
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,2048880,1327299,721581,1006976,30438,1163932,909292,567042,99.0,66.62503503122815
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,2029425,1164122,865303,1037302,10081,816721,783853,306982,99.0,52.47762222080231
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,2082501,1140067,942434,931084,6153,757821,848963,161052,98.0,47.881386459703705
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,1442203,837874,604329,571129,8635,604719,593653,195479,99.0,53.972356070376435
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1741693,976428,765265,863131,7715,789225,833504,197433,98.0,57.35536109887357
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,1261076,684320,576756,448281,5261,545913,565165,155133,104.0,54.47383428675576
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1700567,991842,708725,889218,6151,763746,873486,214089,98.0,56.054868242280676
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,1290288,766483,523805,700833,3988,615432,752752,149684,101.0,55.32067829917643
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,1157962,679289,478673,557254,4453,527736,592458,157056,102.0,52.82157106455435
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1705655,960926,744729,758092,12952,828077,758738,288249,100.0,58.78941836418628
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1773112,1199338,573774,1061787,12050,1017568,1007255,248373,100.0,67.37139716218022
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,62966,39329,23637,4208,170,14593,33422,6498,93.0,49.3665079000985
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,31710,16424,15286,1063,57,5318,14503,5215,103.0,48.861354682933026
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,40222,23591,16631,3565,450,14231,19497,9524,98.0,63.07174390710988
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,38044,18429,19615,2947,95,3911,18603,1092,103.0,39.756288283591815
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,60945,38910,22035,7789,312,17157,33599,11372,91.0,56.998751080795465
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,22326,14102,8224,3354,207,5932,12000,3950,93.0,58.89238165680474
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,30202,17339,12863,1968,381,12493,18112,5365,98.0,65.1053835962905
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65772,41263,24509,1859,2477,30539,20308,30180,98.0,68.55408244748631
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,28561,19554,9007,1581,96,8635,10730,2452,71.0,52.169998199171616
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,50169,27545,22624,1811,98,16026,18420,6500,94.0,42.843491850859564
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,17644,9968,7676,804,97,6198,8569,2182,89.0,51.514722536806346
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,33370,17898,15472,1846,139,5373,14542,4672,100.0,54.25893969897421
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,42493,28313,14180,1705,202,14188,17889,6306,82.0,57.76501840446948
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,49177,29156,20021,1384,303,14204,22272,8503,93.0,57.66784829969539
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,561824,445297,116527,98946,2078,84804,447189,52192,95.0,52.9668367557814
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,255806,197542,58264,47406,2523,49866,181923,38470,97.0,58.75414859692151
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,608062,469752,138310,68664,5316,140205,346227,88933,96.0,67.61007176596797
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,324843,246864,77979,81617,1166,45444,268517,20189,95.0,52.4543887991384
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,316800,186577,130223,19181,1192,28195,211758,16504,95.0,61.65393589872517
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,560557,368013,192544,61209,8817,136685,299852,77163,96.0,66.68986342062902
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,362573,267118,95455,75828,1364,78641,228610,39504,96.0,55.90026810608788
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,479928,309104,170824,66616,3073,82345,292893,34190,96.0,67.6513373475004
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,214240,170792,43448,31248,1211,44143,159215,16202,95.0,61.78802844245984
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,498618,320746,177872,53153,5651,122063,286330,80824,96.0,72.7786343128351
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,628954,428492,200462,99522,3109,122191,390596,43849,95.0,65.58757517090137
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,383441,246193,137248,60952,1923,53918,215691,37185,95.0,58.26690633715113
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,399171,319798,79373,67033,1933,70951,261945,32695,96.0,64.72744053403392
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,341131,236322,104809,56330,1218,41373,204896,17115,96.0,55.15520626912039
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,429995,282250,147745,43922,1948,60296,293239,34694,97.0,65.58504304136596
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,979998,766728,213270,196174,5121,195631,674999,124186,96.0,60.582739091880065
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,267623,210202,57421,34984,1631,68313,210706,28238,95.0,68.91447943921963
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,770606,537195,233411,114865,4358,133368,483325,64528,96.0,57.614793333021495
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,557196,366623,190573,47756,5135,161718,290704,90910,95.0,60.11782256430879
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,1069893,708391,361502,691947,2561,43290,659061,44213,92.0,42.530274021373835
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,837770,599157,238613,426096,2362,44456,428291,49006,93.0,57.71495543632014
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,1575079,1015864,559215,396630,23258,589477,551789,427343,92.0,67.64783121091557
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,771080,517817,253263,462614,1704,62359,425604,18492,91.0,47.44144649770023
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,938182,715345,222837,430870,4644,120373,594377,139248,89.0,52.13437552284247
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,983528,740056,243472,475228,6764,174534,522527,130634,88.0,51.78364627163514
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,822493,640283,182210,364875,3661,62153,434559,77368,91.0,58.61116028510409
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,538322,402180,136142,251790,1784,46760,299252,35405,92.0,58.00719898356259
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,1223640,947927,275713,642115,6280,127442,907174,95539,91.0,46.138084032930486
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,1664062,1076170,587892,783505,6856,112617,696289,111282,94.0,52.32052608064184
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,728201,539586,188615,338666,3707,69375,515925,38133,102.0,53.98093373489273
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,727571,452288,275283,331466,1839,32633,325909,30851,92.0,48.77218594584769
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,365378,266423,98955,179519,1106,27641,186660,28132,92.0,54.99634323961422
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,1013566,760522,253044,672291,2941,60900,668232,69838,92.0,41.68602771253544
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,560805,398216,162589,325731,1580,40641,373696,21007,89.0,46.07561644887533
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,529064,421192,107872,321867,1093,58718,401793,43357,95.0,44.07572172266919
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,326576,240494,86082,159970,1186,44491,175882,31763,90.0,50.68077912943396
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,777546,496046,281500,484062,1397,23236,486278,24000,91.0,41.692119242946966
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,1636938,1105947,530991,940642,5319,113281,1047552,41234,93.0,48.03111125670464
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,426658,327453,99205,196449,2653,90461,222281,85782,88.0,58.62242417374329
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,1547586,1195308,352278,769001,10290,180651,998694,120700,90.0,52.264103233826184
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,1045420,703405,342015,534021,4156,101378,514141,102522,92.0,52.818494794195125
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,817041,539439,277602,397505,1841,31162,379551,45323,94.0,49.163597167559054
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,1478947,999282,479665,998833,3495,57546,839514,96620,91.0,44.713144103671574
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,1881886,1436411,445475,658203,40692,546859,657991,552103,90.0,59.25665393215511
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,1737539,1260774,476765,1057417,7719,74979,1142260,101565,90.0,44.65172273207813
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,1143318,803275,340043,745015,4170,86058,712847,85749,92.0,40.81107167482637
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,924879,707939,216940,405544,4594,114893,512383,95678,92.0,60.806819648382145
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,649898,456724,193174,356833,1668,41342,432651,38046,91.0,42.35347597493714
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,1343400,1037576,305824,721629,5379,88021,1012979,43486,91.0,50.28386278659066
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,1040231,857660,182571,493461,4509,94787,701323,76299,95.0,54.59335371528662
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,224655,151569,73086,109696,631,20065,108293,24345,93.0,51.65084184290837
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,216372,166693,49679,136334,478,10004,158484,7516,89.0,43.23043492836528
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,1114583,865929,248654,635907,3460,66263,807294,49670,90.0,41.96766303284229
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,932416,730396,202020,376344,3834,52935,632514,41858,99.0,57.95513778260326
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,877682,551718,325964,554271,1845,51028,572287,27815,93.0,46.35476762568885
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,1060344,858648,201696,502637,4810,70001,699317,51494,89.0,55.12813799974307
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,404136,328159,75977,1687,44283,231204,8911,289456,82.0,76.31228385996495
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,726531,404364,322167,287828,1782,157646,316425,54894,102.0,46.05600485140451
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,205871,111543,94328,4138,1574,79146,152458,11987,98.0,75.3018672307805
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,1203197,715467,487730,572292,8566,519704,549632,188174,97.0,59.939278330428145
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,402895,226382,176513,182602,1016,148926,168689,41792,101.0,68.37284206551544
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,1496805,921729,575076,560415,16141,614109,533448,349741,99.0,68.88355774383709
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,487360,263645,223715,197558,567,76783,205670,20722,101.0,58.16989933882765
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,521186,333329,187857,221806,4544,202380,206598,126055,97.0,62.05322217065571
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,307071,185483,121588,94648,1667,80023,121852,59763,97.0,60.375282471085136
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,499260,291858,207402,278073,961,212487,274793,35774,102.0,61.772987565286606
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,690167,429211,260956,323788,3342,297308,354278,66638,99.0,63.6980717330306
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,1072969,753843,319126,191182,38570,547206,581868,377160,96.0,73.64642016551515
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,1757664,1099964,657700,708993,20261,728556,673499,395001,98.0,64.71042887177549
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,1155807,649888,505919,523356,2737,253131,525596,65167,98.0,50.33891467638691
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,124659,66514,150348,105521,94502,11019,481,1316,49249,10006,61073,53.0,78.64499693994445
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,1123709,801859,321850,333996,6628,498326,489237,287506,95.0,67.18056550988997
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,327658,239125,88533,14120,23440,173951,115859,209230,96.0,81.05788696443066
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,249590,180411,69179,12640,17624,138810,88620,162873,99.0,78.43840402662141
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,2594952,2127547,467405,268954,126341,1456046,353169,1845383,90.0,75.34780243200066
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,657139,453642,203497,209935,2538,273331,313714,116899,96.0,65.74201388200952
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,844794,627561,217233,346329,9902,378310,413078,208909,92.0,74.12527565470232
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,1248600,836268,412332,350541,3424,396873,666773,137424,94.0,54.63610709288814
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,627124,468919,158205,253577,10257,309091,300677,181319,93.0,72.09943914291186
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,1150632,838781,311851,334025,7297,500757,387251,356826,93.0,65.52138357465113
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,723864,667889,1030494,534976,408075,126901,129356,12107,262539,237624,195634,92.0,74.04287973512541
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,847440,646822,200618,147193,11573,386538,347158,299167,94.0,64.65079007221361
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,1123709,801859,321850,333996,6628,498326,489237,287506,95.0,67.18056550988997
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,776228,624704,151524,183971,9631,403294,488293,250982,91.0,59.851670664523645
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,933983,674586,259397,359842,5710,372226,461479,160547,94.0,72.18808766525284
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,812064,588699,223365,242969,7759,385609,476005,183738,93.0,73.83772697074883
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,294795,174282,120513,188030,576,101940,138121,22248,96.0,62.73723227460075
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,591834,407881,183953,206608,6726,267679,267739,141417,96.0,75.35008633708162
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,1097507,673565,423942,376038,3456,398937,463363,104238,95.0,60.26516076788457
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,694397,649337,837913,554830,383074,171756,227080,2231,223424,301483,102655,94.0,62.3570587631183
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,300209,285240,393678,231169,174118,57051,48964,1653,117040,96015,87557,95.0,67.24377358232742
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,1479050,1159480,319570,214285,21785,747352,459474,721532,93.0,71.62608639426709
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,1084878,681435,403443,333867,5262,438606,544024,121509,95.0,65.00622377849854
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,2553542,2142819,410723,325739,55694,1252452,369840,1529998,79.0,75.17131965714033
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,723500,504038,219462,270861,2975,302068,340788,159810,93.0,62.269881362070024
